step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
521,6.2498410951,0.0638344842,1.0027026803,100.000000,0.54628571,-0.0000030802,0.0808796907
523,6.2495470428,0.0653405769,1.0027127590,100.000000,0.54628571,-0.0000032425,0.0808541383
525,6.2508825396,0.0664328279,1.0027213050,100.000000,0.54628571,-0.0000034351,0.0808264439
527,6.2539328242,0.0671322378,1.0027279831,100.000000,0.54628571,-0.0000036151,0.0807975723
529,6.2587336261,0.0674653905,1.0027325356,100.000000,0.54628571,-0.0000037508,0.0807683639
531,6.2651936285,0.0674582167,1.0027348301,100.000000,0.54628571,-0.0000038282,0.0807395550
533,6.2731082112,0.0671314549,1.0027348827,100.000000,0.54628571,-0.0000038510,0.0807117816
535,6.2822405893,0.0664984786,1.0027328428,100.000000,0.54628571,-0.0000038323,0.0806855147
537,6.2924153779,0.0655646045,1.0027289408,100.000000,0.54628571,-0.0000037856,0.0806609659
539,6.3035694115,0.0643263101,1.0027234157,100.000000,0.54628571,-0.0000037191,0.0806380476
541,6.3157318699,0.0627694075,1.0027164506,100.000000,0.54628571,-0.0000036344,0.0806164366
543,6.3289428129,0.0608666038,1.0027081439,100.000000,0.54628571,-0.0000035309,0.0805957262
545,6.3431449204,0.0585760168,1.0026985226,100.000000,0.54628571,-0.0000034105,0.0805755976
547,6.3580858336,0.0558423872,1.0026875900,100.000000,0.54628571,-0.0000032794,0.0805588761
549,6.3732519369,0.0526018715,1.0026753782,100.000000,0.54628571,-0.0000031461,0.0805480830
551,6.3878333781,0.0487899804,1.0026619813,100.000000,0.54628571,-0.0000030151,0.0805405786
553,6.4007089109,0.0443512473,1.0026475560,100.000000,0.54628571,-0.0000028816,0.0805360860
555,6.4104434980,0.0392490317,1.0026322956,100.000000,0.54628571,-0.0000027313,0.0805341088
557,6.4153073564,0.0334742999,1.0026163970,100.000000,0.54628571,-0.0000025457,0.0805339238
559,6.4133421681,0.0270526591,1.0026000362,100.000000,0.54628571,-0.0000023107,0.0805346295
561,6.4025078335,0.0200488759,1.0025833601,100.000000,0.54628571,-0.0000020246,0.0805352581
